Water_Body,Year,Water_Area,NDVI,Data_Source
Sanjay_Lake,2017,0.105,0.205,Satellite_True_Extraction
Sanjay_Lake,2018,0.146,0.213,Satellite_True_Extraction
Sanjay_Lake,2019,0.1,0.211,Satellite_True_Extraction
Sanjay_Lake,2020,0.273,0.227,Satellite_True_Extraction
Sanjay_Lake,2021,0.1,0.219,Satellite_True_Extraction
Sanjay_Lake,2022,0.1,0.236,Satellite_True_Extraction
Sanjay_Lake,2023,0.1,0.257,Satellite_True_Extraction
Sanjay_Lake,2024,0.1,0.246,Satellite_True_Extraction
Sanjay_Lake,2025,0.1,0.266,Satellite_True_Extraction
